,participant_id_in_session,participant_code,participant_time_started,player_id,player_total_payoff,player_tax_office_decision,player_company_decision,p1s1,p2s1,s1,s2,group_id_in_subsession,round_number,session_code,framed,dataset,game_id,p1s1_cumulative,p2s1_cumulative,D-factor,CRUD,PATHY,EGO,SPITE,MACH,SAD,SCTR,FRUST,NARC,PENT,MDIS,GRE,gender,p1_payoff,p2_payoff,degree_str,degree,Age,age_str,nationality,s1_cumulative,s1_freq,Opponent S1 (t-1),opponent_s1_freq_prev,Own S1 Freq. (t-1),german_nat,Female,gender_Male,gender_ND,gender_Other,Framing,treat_unframed,treatment,react_possible_p1,react_possible_p2,p1s1_change,p2s1_change,STEM,non_STEM
280,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,14,Don't Control,,0,0,0,1,1,1,7igvdhlu,1,15,151,0,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0.0,-1.0,0.0,0.0,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
350,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,14,,Don't Cheat,0,0,0,1,1,1,7igvdhlu,1,15,151,0,0,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,0,0.0,-1.0,0.0,0.0,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
281,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,28,Don't Control,,0,0,0,1,1,2,7igvdhlu,1,15,151,0,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0.0,0.0,0.0,0.0,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
351,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,28,,Don't Cheat,0,0,0,1,1,2,7igvdhlu,1,15,151,0,0,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,0,0.0,0.0,0.0,0.0,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
282,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,42,Don't Control,,0,0,0,1,1,3,7igvdhlu,1,15,151,0,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0.0,0.0,0.0,0.0,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
352,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,42,,Don't Cheat,0,0,0,1,1,3,7igvdhlu,1,15,151,0,0,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,0,0.0,0.0,0.0,0.0,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
283,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,56,Don't Control,,0,0,0,1,1,4,7igvdhlu,1,15,151,0,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0.0,0.0,0.0,0.0,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
353,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,56,,Don't Cheat,0,0,0,1,1,4,7igvdhlu,1,15,151,0,0,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,0,0.0,0.0,0.0,0.0,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
284,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,70,Don't Control,,0,0,0,1,1,5,7igvdhlu,1,15,151,0,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0.0,0.0,0.0,0.0,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
354,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,70,,Don't Cheat,0,0,0,1,1,5,7igvdhlu,1,15,151,0,0,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,0,0.0,0.0,0.0,0.0,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
285,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,73,Don't Control,,0,0,0,1,1,6,7igvdhlu,1,15,151,0,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0.0,0.0,0.0,0.0,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
355,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,86,,Cheat,0,1,1,0,1,6,7igvdhlu,1,15,151,0,1,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,16,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.16666666666666666,0.0,0.0,0.0,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
286,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,84,Control,,1,0,1,0,1,7,7igvdhlu,1,15,151,1,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,11,0,International Taxation and Law,23,2,18-24,Germany,1,0.14285714285714285,1.0,0.16666666666666666,0.0,1,1,False,False,False,1,False,framed,1,0,1,0,0,1
356,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,96,,Don't Cheat,0,0,0,1,1,7,7igvdhlu,1,15,151,0,1,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.14285714285714285,0.0,0.0,0.16666666666666666,0,0,True,False,False,1,False,framed,0,1,0,0,1,0
287,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,98,Don't Control,,0,0,0,1,1,8,7igvdhlu,1,15,151,1,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.125,0.0,0.14285714285714285,0.14285714285714285,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
357,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,110,,Don't Cheat,0,0,0,1,1,8,7igvdhlu,1,15,151,0,1,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.125,1.0,0.14285714285714285,0.14285714285714285,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
288,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,112,Don't Control,,0,0,0,1,1,9,7igvdhlu,1,15,151,1,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.1111111111111111,0.0,0.125,0.125,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
358,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,124,,Don't Cheat,0,0,0,1,1,9,7igvdhlu,1,15,151,0,1,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.1111111111111111,0.0,0.125,0.125,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
289,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,126,Don't Control,,0,0,0,1,1,10,7igvdhlu,1,15,151,1,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.1,0.0,0.1111111111111111,0.1111111111111111,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
359,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,138,,Don't Cheat,0,0,0,1,1,10,7igvdhlu,1,15,151,0,1,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.1,0.0,0.1111111111111111,0.1111111111111111,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
290,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,140,Don't Control,,0,0,0,1,1,11,7igvdhlu,1,15,151,1,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.09090909090909091,0.0,0.1,0.1,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
360,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,152,,Don't Cheat,0,0,0,1,1,11,7igvdhlu,1,15,151,0,1,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.09090909090909091,0.0,0.1,0.1,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
291,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,154,Don't Control,,0,0,0,1,1,12,7igvdhlu,1,15,151,1,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.08333333333333333,0.0,0.09090909090909091,0.09090909090909091,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
361,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,166,,Don't Cheat,0,0,0,1,1,12,7igvdhlu,1,15,151,0,1,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.08333333333333333,0.0,0.09090909090909091,0.09090909090909091,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
292,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,168,Don't Control,,0,0,0,1,1,13,7igvdhlu,1,15,151,1,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.07692307692307693,0.0,0.08333333333333333,0.08333333333333333,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
362,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,180,,Don't Cheat,0,0,0,1,1,13,7igvdhlu,1,15,151,0,1,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.07692307692307693,0.0,0.08333333333333333,0.08333333333333333,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
293,1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,182,Don't Control,,0,0,0,1,1,14,7igvdhlu,1,15,151,1,0,2.6,3.0,3.0,2.666666667,2.5,2.0,2.0,2.5,2.5,1.666666667,4.5,5,1,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.07142857142857142,0.0,0.07692307692307693,0.07692307692307693,1,1,False,False,False,1,False,framed,0,0,0,0,0,1
363,2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,194,,Don't Cheat,0,0,0,1,1,14,7igvdhlu,1,15,151,0,1,2.228571429,2.0,2.5,2.333333333,1.5,3.5,1.6,2.0,1.5,2.333333333,3.0,1,2,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.07142857142857142,0.0,0.07692307692307693,0.07692307692307693,0,0,True,False,False,1,False,framed,0,0,0,0,1,0
