participant_id_in_session,participant_code,participant_time_started,player_id,player_total_payoff,player_tax_office_decision,player_company_decision,p1s1,p2s1,s1,s2,group_id_in_subsession,round_number,session_code,framed,dataset,game_id,p1s1_cumulative,p2s1_cumulative,DarkFactor,CRUD,PATHY,EGO,SPITE,MACH,SAD,SCTR,FRUST,NARC,PENT,MDIS,GRE,gender_str,gender,p1_payoff,p2_payoff,degree_str,degree,age,age_str,nationality,s1_cumulative
23,0bmasffv,2021-03-15 10:12:28.759976+00:00,1,11,Control,,1,0,1,0,12,1,7igvdhlu,1,15,1512,1,0,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,Male,1,11,0,Sonstige,22,2,18-24,non disclosed,1
23,0bmasffv,2021-03-15 10:12:28.759976+00:00,1,22,Control,,1,0,1,0,12,2,7igvdhlu,1,15,1512,2,0,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,Male,1,11,0,Sonstige,22,2,18-24,non disclosed,2
23,0bmasffv,2021-03-15 10:12:28.759976+00:00,1,33,Control,,1,0,1,0,12,3,7igvdhlu,1,15,1512,3,0,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,Male,1,11,0,Sonstige,22,2,18-24,non disclosed,3
23,0bmasffv,2021-03-15 10:12:28.759976+00:00,1,44,Control,,1,0,1,0,12,4,7igvdhlu,1,15,1512,4,0,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,Male,1,11,0,Sonstige,22,2,18-24,non disclosed,4
23,0bmasffv,2021-03-15 10:12:28.759976+00:00,1,55,Control,,1,0,1,0,12,5,7igvdhlu,1,15,1512,5,0,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,Male,1,11,0,Sonstige,22,2,18-24,non disclosed,5
23,0bmasffv,2021-03-15 10:12:28.759976+00:00,1,66,Control,,1,0,1,0,12,6,7igvdhlu,1,15,1512,6,0,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,Male,1,11,0,Sonstige,22,2,18-24,non disclosed,6
23,0bmasffv,2021-03-15 10:12:28.759976+00:00,1,77,Control,,1,0,1,0,12,7,7igvdhlu,1,15,1512,7,0,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,Male,1,11,0,Sonstige,22,2,18-24,non disclosed,7
23,0bmasffv,2021-03-15 10:12:28.759976+00:00,1,88,Control,,1,0,1,0,12,8,7igvdhlu,1,15,1512,8,0,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,Male,1,11,0,Sonstige,22,2,18-24,non disclosed,8
23,0bmasffv,2021-03-15 10:12:28.759976+00:00,1,99,Control,,1,0,1,0,12,9,7igvdhlu,1,15,1512,9,0,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,Male,1,11,0,Sonstige,22,2,18-24,non disclosed,9
23,0bmasffv,2021-03-15 10:12:28.759976+00:00,1,110,Control,,1,0,1,0,12,10,7igvdhlu,1,15,1512,10,0,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,Male,1,11,0,Sonstige,22,2,18-24,non disclosed,10
